DATA,JANELA_15MIN,VALOR_TOTAL_15M
2025-10-27,2025-10-27 09:45:00.000,9290.86
2025-10-27,2025-10-27 10:00:00.000,9578.12
2025-10-27,2025-10-27 10:15:00.000,16202.38
2025-10-27,2025-10-27 10:30:00.000,8598.24
2025-10-27,2025-10-27 10:45:00.000,17742.11
2025-10-27,2025-10-27 11:00:00.000,6454.33
2025-10-27,2025-10-27 11:15:00.000,12907.5
2025-10-27,2025-10-27 11:30:00.000,9051.82
2025-10-27,2025-10-27 11:45:00.000,6238.38
2025-10-27,2025-10-27 12:00:00.000,10859.8
2025-10-27,2025-10-27 12:15:00.000,17100.89
2025-10-27,2025-10-27 12:30:00.000,7218.42
2025-10-27,2025-10-27 12:45:00.000,7525.31
2025-10-27,2025-10-27 13:00:00.000,10816.29
2025-10-27,2025-10-27 13:15:00.000,8771.32
2025-10-27,2025-10-27 13:30:00.000,10264.87
2025-10-27,2025-10-27 13:45:00.000,12671.02
2025-10-27,2025-10-27 14:00:00.000,9195.47
2025-10-27,2025-10-27 14:15:00.000,12277.86
2025-10-27,2025-10-27 14:30:00.000,8818.85
2025-10-27,2025-10-27 14:45:00.000,6743.03
2025-10-27,2025-10-27 15:00:00.000,12085.33
2025-10-27,2025-10-27 15:15:00.000,10549.67
2025-10-27,2025-10-27 15:30:00.000,20307.64
2025-10-27,2025-10-27 15:45:00.000,8080.29
2025-10-27,2025-10-27 16:00:00.000,15344.59
2025-10-27,2025-10-27 16:15:00.000,15607.33
2025-10-27,2025-10-27 16:30:00.000,11442.16
2025-10-27,2025-10-27 16:45:00.000,14538.68
2025-10-27,2025-10-27 17:00:00.000,12600.13
2025-10-27,2025-10-27 17:15:00.000,8842.42
2025-10-27,2025-10-27 17:30:00.000,15160.72
2025-10-27,2025-10-27 17:45:00.000,14687.6
2025-10-27,2025-10-27 18:00:00.000,11596.05
2025-10-27,2025-10-27 18:15:00.000,19250.03
2025-10-27,2025-10-27 18:30:00.000,16759.22
2025-10-27,2025-10-27 18:45:00.000,15284.6
2025-10-27,2025-10-27 19:00:00.000,13973.69
2025-10-27,2025-10-27 19:15:00.000,12897.09
2025-10-27,2025-10-27 19:30:00.000,11535.52
2025-10-27,2025-10-27 19:45:00.000,12133.65
2025-10-27,2025-10-27 20:00:00.000,7756.57
2025-10-27,2025-10-27 20:15:00.000,8076.73
2025-10-27,2025-10-27 20:30:00.000,12234.43
2025-10-27,2025-10-27 20:45:00.000,10092.04
2025-10-27,2025-10-27 21:00:00.000,12376.48
2025-10-27,2025-10-27 21:15:00.000,5360.54
2025-10-27,2025-10-27 21:30:00.000,8552.54
2025-10-27,2025-10-27 21:45:00.000,3744.56
2025-10-27,2025-10-27 22:00:00.000,5797.57
2025-10-27,2025-10-27 22:15:00.000,3835.32
2025-10-27,2025-10-27 22:30:00.000,1201.49
2025-10-27,2025-10-27 22:45:00.000,1969.97
2025-10-27,2025-10-27 23:00:00.000,1605.32
2025-10-27,2025-10-27 23:15:00.000,1272.55
2025-10-27,2025-10-27 23:30:00.000,448.16
2025-10-27,2025-10-27 23:45:00.000,676.5
2025-10-28,2025-10-28 00:00:00.000,374.74
2025-10-28,2025-10-28 00:30:00.000,207.15
2025-10-28,2025-10-28 00:45:00.000,149.56
2025-10-28,2025-10-28 01:00:00.000,73.37
2025-10-28,2025-10-28 01:15:00.000,27.9
2025-10-28,2025-10-28 02:45:00.000,13.99
2025-10-28,2025-10-28 05:30:00.000,51.78
2025-10-28,2025-10-28 06:00:00.000,144.11
2025-10-28,2025-10-28 06:15:00.000,32.11
2025-10-28,2025-10-28 06:30:00.000,18.99
2025-10-28,2025-10-28 06:45:00.000,698.46
2025-10-28,2025-10-28 07:00:00.000,2709.9
2025-10-28,2025-10-28 07:15:00.000,3772.85
2025-10-28,2025-10-28 07:30:00.000,3155.99
2025-10-28,2025-10-28 07:45:00.000,4606.88
2025-10-28,2025-10-28 08:00:00.000,5915.43
2025-10-28,2025-10-28 08:15:00.000,3550.29
2025-10-28,2025-10-28 08:30:00.000,5016.84
2025-10-28,2025-10-28 08:45:00.000,5140.99
2025-10-28,2025-10-28 09:00:00.000,8673.66
2025-10-28,2025-10-28 09:15:00.000,4937.19
2025-10-28,2025-10-28 09:30:00.000,10046.96
2025-10-28,2025-10-28 09:45:00.000,8915.94
2025-10-28,2025-10-28 10:00:00.000,7238.03
2025-10-28,2025-10-28 10:15:00.000,13697.58
2025-10-28,2025-10-28 10:30:00.000,6695.07
2025-10-28,2025-10-28 10:45:00.000,11988.63
2025-10-28,2025-10-28 11:00:00.000,8303.28
2025-10-28,2025-10-28 11:15:00.000,13568.69
2025-10-28,2025-10-28 11:30:00.000,11739.24
2025-10-28,2025-10-28 11:45:00.000,12682.05
2025-10-28,2025-10-28 12:00:00.000,9745.63
2025-10-28,2025-10-28 12:15:00.000,11256.32
2025-10-28,2025-10-28 12:30:00.000,6487.68
2025-10-28,2025-10-28 12:45:00.000,11775.03
2025-10-28,2025-10-28 13:00:00.000,5641.8
2025-10-28,2025-10-28 13:15:00.000,7766.03
